the_geom,GEOID,FSHRI,FVI_storm_surge_present,FVI_storm_surge_2050s,FVI_storm_surge_2080s,FVI_tidal_2020s,FVI_tidal_2050s,FVI_tidal_2080s,flood_risk_score
"MULTIPOLYGON (((-73.977875 40.753099, -73.976974 40.754349, -73.976516 40.754974, -73.975807 40.754678, -73.975352 40.755303, -73.974897 40.75592799999999, -73.974439 40.75655599999999, -73.97282 40.755869999999994, -73.971217 40.755193, -73.97167700000001 40.754569999999994, -73.972136 40.75394299999999, -73.972588 40.753318, -73.973045 40.752691999999996, -73.973503 40.752064999999995, -73.973959 40.751441, -73.974449 40.75076599999999, -73.97604800000002 40.751441, -73.977107 40.751883, -73.977677 40.752119, -73.97837 40.752416, -73.977875 40.753099)))",36061009200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.973045 40.752691999999996, -73.972588 40.753318, -73.972136 40.75394299999999, -73.97167700000001 40.754569999999994, -73.971217 40.755193, -73.971057 40.755126, -73.968978 40.75425099999999, -73.966616 40.75324400000001, -73.967227 40.752688, -73.96726100000001 40.75264000000001, -73.967698 40.752041000000006, -73.967974 40.75136599999998, -73.968427 40.75076399999999, -73.968908 40.75011200000001, -73.971263 40.751122, -73.973503 40.752064999999995, -73.973045 40.752691999999996)))",36061009000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.96439 40.807338, -73.964171 40.80763699999999, -73.963903 40.80800399999999, -73.962058 40.81053499999999, -73.961111 40.81182999999999, -73.958272 40.810629, -73.958726 40.810008, -73.959217 40.80934099999999, -73.960106 40.80812, -73.961316 40.806455, -73.961548 40.806136, -73.962008 40.805508999999994, -73.964848 40.80670700000001, -73.96439 40.807338)))",36061020300,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.986393 40.745920999999996, -73.985949 40.746536, -73.985496 40.747152, -73.98456 40.748439000000005, -73.984076 40.74910199999999, -73.982473 40.748432, -73.980853 40.74775100000001, -73.981361 40.74714500000001, -73.982727 40.745181, -73.983177 40.744562, -73.984078 40.743326, -73.985696 40.744007999999994, -73.987298 40.744682, -73.986393 40.745920999999996)))",36061007400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.981114 40.774226999999996, -73.98066 40.774852, -73.980203 40.775479, -73.979746 40.776106, -73.976912 40.77490900000001, -73.97737 40.77428100000001, -73.977827 40.773656, -73.978281 40.773030999999996, -73.978728 40.77241699999998, -73.981573 40.773602, -73.981114 40.774226999999996)))",36061015301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.952541 40.76049, -73.951517 40.761974, -73.949972 40.763646, -73.948447 40.763475, -73.947758 40.764065, -73.947643 40.764191999999994, -73.946626 40.763864999999996, -73.944715 40.76287899999999, -73.947832 40.75898899999999, -73.950108 40.760028, -73.95124 40.760617999999994, -73.951565 40.760381, -73.952541 40.76049)))",36061023803,4.0,4.0,5.0,5.0,5.0,5.0,5.0,8.919999999999998
"MULTIPOLYGON (((-73.948073 40.770394, -73.947584 40.771080000000005, -73.947357 40.771387, -73.947119 40.771711999999994, -73.946656 40.77235100000001, -73.946195 40.772985, -73.945728 40.773622, -73.944466 40.77306500000001, -73.944337 40.773108, -73.94019 40.772954999999996, -73.942146 40.772037000000005, -73.944658 40.769845999999994, -73.945138 40.769107, -73.947502 40.77012099999999, -73.947615 40.77016999999999, -73.948073 40.770394)))",36061013601,1.0,3.0,3.0,3.0,0.0,3.0,3.0,6.4
"MULTIPOLYGON (((-73.986815 40.77659899999999, -73.985713 40.778111999999986, -73.985448 40.778476, -73.982583 40.777303, -73.983047 40.77668299999999, -73.983505 40.776057999999985, -73.983971 40.77543, -73.984412 40.77480799999999, -73.987241 40.776017, -73.986815 40.77659899999999)))",36061015501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.95386 40.770731999999995, -73.953649 40.771024, -73.953188 40.771657000000005, -73.952686 40.77233999999999, -73.950435 40.771390999999994, -73.950932 40.770709000000004, -73.951398 40.770073, -73.951858 40.76944100000001, -73.952116 40.769549000000005, -73.953731 40.770228, -73.954112 40.77038900000001, -73.95386 40.770731999999995)))",36061013203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.971217 40.755193, -73.97076 40.755825, -73.970313 40.75645300000001, -73.969848 40.75707599999999, -73.969394 40.75770000000001, -73.968936 40.75833, -73.966702 40.757380999999995, -73.964325 40.75638099999999, -73.96478600000002 40.755755999999984, -73.96524 40.755129999999994, -73.965696 40.754505, -73.966157 40.75387799999999, -73.966352 40.753605, -73.966616 40.75324400000001, -73.968978 40.75425099999999, -73.971057 40.755126, -73.971217 40.755193)))",36061009800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
