GeoName,Total Hispanic,Total Black,Total Asian,Pop,% Hispanic,% Black,% Asian
NYC,4440916.4,2414431.3,2801048.0,8804190.0,50.44094232405253,27.423661915519766,31.814942657984435
Manhattan,1473854.9,593188.9,158506.0,1694251.0,86.99153195128703,35.01186660063946,9.355520522047795
Bronx,890468.1,979937.3,753557.0,1472654.0,60.46689174782399,66.54226315210498,51.169996482541045
Brooklyn,730375.7,254563.0,439402.0,2736074.0,26.694296279998277,9.303951574409172,16.059580259890634
Queens,1180345.0,525060.7,1327357.0,2405464.0,49.069327165154,21.82783446353801,55.18091312112756
Staten Island,165972.8,61967.2,120398.0,495747.0,33.479335225427484,12.499762983941405,24.286178232041745
,1289.3,2391.8,0.0,3772.0,34.18080593849417,63.409331919406156,0.0
,5980.6,1493.6,312.0,4779.0,125.1433354258213,31.253400292948314,6.52856246076585
,7628.6,2087.8,338.0,6272.0,121.62946428571428,33.28762755102041,5.389030612244898
,6696.4,2531.0,81.0,5795.0,115.55478861087143,43.6755823986195,1.3977566867989646
,1683.4,1092.7,0.0,2292.0,73.44677137870855,47.67452006980803,0.0
,1327.5,594.7,0.0,1613.0,82.30006199628022,36.86918784872908,0.0
,0.0,0.0,0.0,2.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,,,
,5682.4,2189.9,0.0,5007.0,113.48911523866585,43.73676852406631,0.0
,5654.8,1665.6,63.0,4584.0,123.35951134380454,36.33507853403141,1.37434554973822
,5882.5,1972.7,23.0,4742.0,124.05103331927457,41.600590468156895,0.48502741459299875
,0.0,0.0,0.0,6.0,0.0,0.0,0.0
,6963.8,1323.9,272.0,5442.0,127.96398382947447,24.327453142227125,4.99816244027931
,3764.4,1070.7,0.0,3080.0,122.22077922077924,34.76298701298701,0.0
,5907.9,1900.2,24.0,4995.0,118.27627627627626,38.04204204204204,0.4804804804804805
,2893.7,4738.5,0.0,5853.0,49.439603622074145,80.9584828293183,0.0
,3389.4,1283.9,35.0,2964.0,114.35222672064778,43.31646423751687,1.1808367071524968
,4723.5,1247.9,0.0,3689.0,128.04283003523992,33.82759555435078,0.0
,4823.1,1229.1,0.0,3726.0,129.44444444444446,32.987117552334944,0.0
,315.7,102.2,0.0,340.0,92.85294117647058,30.058823529411764,0.0
,1960.0,526.5,0.0,1683.0,116.45870469399881,31.283422459893046,0.0
,7919.9,926.4,496.0,6345.0,124.82111899133174,14.60047281323877,7.817178881008669
,1258.5,112.1,1131.0,1739.0,72.36917768832663,6.446233467510062,65.03737780333525
,7573.1,2408.7,24.0,6146.0,123.21998047510576,39.19134396355353,0.390497884803124
,8326.0,3345.8,26.0,7201.0,115.62283016247743,46.462991251215115,0.361060963755034
,7564.5,1987.4,0.0,5883.0,128.5823559408465,33.78208397076322,0.0
,5069.8,1879.7,298.0,4642.0,109.21585523481258,40.49332184403275,6.419646704006894
,2260.0,826.9,0.0,1976.0,114.37246963562752,41.847165991902834,0.0
,5575.1,924.6,184.0,4184.0,133.24808795411093,22.09847036328872,4.397705544933078
,5959.8,1494.5,218.0,4960.0,120.15725806451614,30.131048387096776,4.395161290322581
