nta_code,GeogName,Pop_1E,MdAgeE,WtNHE,BlNHE,AsnNHE,Hsp1E,MdHHIncE,PerCapIncE,PopPvU1E,PBwPvE,% below poverty,% White,% Black,% Asian,% Hispanic
MN0101,Financial District-Battery Park City,48693,34.3,30548,1868,9586,3710,195153.0,134011.0,47526,2895,0.06091402600681732,0.6273591686690079,0.03836280368841517,0.19686607931324832,0.07619164972377959
MN0102,Tribeca-Civic Center,23777,37.7,14482,1274,4104,2880,200000.0,197295.0,21635,1123,0.05190663277097296,0.6090759978130126,0.05358119190814653,0.17260377675905286,0.12112545737477394
MN0201,SoHo-Little Italy-Hudson Square,21940,39.4,13886,222,5027,2137,133847.0,133954.0,21569,2222,0.10301822059437155,0.6329079307201458,0.010118505013673656,0.22912488605287146,0.09740200546946216
MN0202,Greenwich Village,31968,34.8,22702,1131,4770,2458,175436.0,143634.0,27778,1968,0.07084743322053423,0.7101476476476476,0.035379129129129126,0.14921171171171171,0.07688938938938938
MN0203,West Village,31798,40.4,24228,755,1938,3490,147570.0,151158.0,31279,2068,0.06611464560887496,0.7619347128750236,0.02374363167494811,0.060947229385495946,0.10975533052393233
MN0301,Chinatown-Two Bridges,40100,47.9,4764,2668,24278,6905,29559.0,33832.0,39849,13254,0.33260558608748025,0.11880299251870324,0.06653366583541147,0.6054364089775561,0.17219451371571073
MN0302,Lower East Side,45800,42.1,15356,4942,9731,14134,54122.0,48617.0,45312,10447,0.2305570268361582,0.3352838427947598,0.10790393013100437,0.21246724890829694,0.30860262008733624
MN0303,East Village,69294,33.8,32424,5635,10356,17302,72063.0,69137.0,64172,15845,0.24691454216792372,0.4679193003723266,0.08132017202066558,0.14945016884578752,0.24968972782636303
MN0401,Chelsea-Hudson Yards,62046,39.6,36700,3642,8017,10853,118915.0,120021.0,61181,7286,0.1190892597375002,0.5914966315314444,0.058698385069142246,0.12921058569448474,0.17491860877413531
MN0402,Hell's Kitchen,54411,39.0,28265,2459,9410,11428,100596.0,95552.0,54187,7015,0.12945909535497443,0.5194721655547592,0.045193067578247044,0.17294297109040452,0.21003105989597692
MN0501,Midtown South-Flatiron-Union Square,28936,35.2,17243,1601,5406,3341,167458.0,153845.0,26473,3134,0.11838476938767802,0.5959012994194084,0.0553290019353055,0.1868260989770528,0.11546170859828588
MN0502,Midtown-Times Square,21514,44.2,11507,1756,4052,2711,153871.0,164832.0,21421,2430,0.11344008216236404,0.534861020730687,0.08162126987078182,0.18834247466765827,0.12601096960118993
