GeoName,Total Hispanic,Total Black,Total Asian,Pop,% Hispanic,% Black,% Asian
Manhattan,1473854.9,593188.9,158506.0,1694251.0,86.99153195128703,35.01186660063946,9.355520522047795
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,7538.9,,24671.0,69084.0,10.912657055179203,,35.711597475537026
Upper West Side-Manhattan Valley,22774.0,,9922.0,51751.0,44.00687909412378,,19.172576375335744
Manhattanville-West Harlem,21295.4,,1460.0,22183.0,95.99873777216789,,6.581616553216427
