Borough,Pop,Total Hispanic,Total Black,Total Asian,% Hispanic,% Black,% Asian
Manhattan,1694251.0,1473854.9,593188.9,158506.0,86.99153195128703,35.01186660063946,9.355520522047795
Manhattan,0.0,0.0,,0.0,,,
Manhattan,2012.0,1359.4,,1355.0,67.56461232604374,,67.34592445328032
Manhattan,7266.0,4973.5,,3582.0,68.44894026974951,,49.29810074318745
Manhattan,5.0,0.0,,0.0,0.0,,0.0
Manhattan,11616.0,5521.1,,11796.0,47.53013085399449,,101.5495867768595
Manhattan,10542.0,1464.5,,3602.0,13.89205084424208,,34.1680895465756
Manhattan,10871.0,895.1,,17247.0,8.233833134026309,,158.651458007543
Manhattan,2016.0,42.0,,510.0,2.083333333333333,,25.297619047619047
Manhattan,1767.0,378.3,,523.0,21.40916808149406,,29.598189020939447
Manhattan,6300.0,6823.6,,2056.0,108.31111111111112,,32.63492063492063
Manhattan,3776.0,1919.5,,1115.0,50.83421610169492,,29.528601694915253
Manhattan,5402.0,886.1,,2019.0,16.403184005923734,,37.37504627915587
Manhattan,3543.0,670.4,,1350.0,18.921817668642394,,38.10330228619814
Manhattan,3418.0,1747.6,,1910.0,51.129315389116435,,55.8806319485079
Manhattan,8385.0,1171.7,,4093.0,13.97376267143709,,48.81335718545021
Manhattan,10378.0,1512.4,,3584.0,14.573135478897669,,34.53459240701484
Manhattan,7698.0,625.1,,10732.0,8.120290984671344,,139.41283450246817
Manhattan,7934.0,1849.0,,7036.0,23.304764305520546,,88.68162339299218
Manhattan,4648.0,5376.2,,1450.0,115.6669535283993,,31.196213425129088
Manhattan,7811.0,877.1,,2480.0,11.229035974907182,,31.750096018435542
Manhattan,6969.0,5360.8,,2905.0,76.92351843880041,,41.68460324293299
Manhattan,2488.0,578.3,,597.0,23.243569131832796,,23.995176848874596
Manhattan,4518.0,5101.6,,1224.0,112.91722000885349,,27.091633466135455
Manhattan,4630.0,3396.9,,3463.0,73.3671706263499,,74.79481641468682
Manhattan,3609.0,2710.0,,953.0,75.09005264616238,,26.406206705458573
Manhattan,4816.0,1514.7,,1502.0,31.45141196013289,,31.18770764119601
Manhattan,1370.0,0.0,,2103.0,0.0,,153.50364963503648
Manhattan,6819.0,4918.1,,2028.0,72.12347851591143,,29.740431148262207
Manhattan,1096.0,291.3,,229.0,26.578467153284674,,20.894160583941606
Manhattan,4359.0,61.4,,6930.0,1.4085799495297087,,158.98141775636614
Manhattan,4663.0,1063.5,,1687.0,22.80720566159125,,36.17842590606906
Manhattan,3035.0,992.8,,755.0,32.71169686985173,,24.87644151565074
Manhattan,2989.0,454.7,,1104.0,15.212445633991301,,36.93542990966879
Manhattan,8372.0,1816.5,,2147.0,21.69732441471572,,25.645007166746296
Manhattan,6458.0,401.0,,1260.0,6.209352740786621,,19.510684422421804
Manhattan,7012.0,1907.9,,1452.0,27.209070165430692,,20.707358813462637
Manhattan,3513.0,1890.4,,1296.0,53.811557073726156,,36.89154568744662
Manhattan,3000.0,426.7,,790.0,14.223333333333333,,26.333333333333332
Manhattan,3092.0,264.2,,544.0,8.54463130659767,,17.59379042690815
Manhattan,9070.0,1947.2,,2309.0,21.468577728776186,,25.457552370452042
Manhattan,7036.0,886.4,,1155.0,12.59806708357021,,16.415577032404777
Manhattan,3743.0,666.4,,461.0,17.803900614480366,,12.316323804434944
Manhattan,5090.0,823.9,,1458.0,16.18664047151277,,28.644400785854618
Manhattan,7523.0,869.3,,7443.0,11.555230626080021,,98.93659444370597
Manhattan,5216.0,801.1,,2610.0,15.35851226993865,,50.03834355828221
Manhattan,4158.0,662.6,,1360.0,15.935545935545935,,32.70803270803271
Manhattan,17222.0,2959.0,,5756.0,17.181512019509928,,33.422366740216006
Manhattan,1093.0,0.0,,397.0,0.0,,36.322049405306494
Manhattan,2644.0,59.1,,377.0,2.235249621785174,,14.258698940998487
Manhattan,6955.0,883.5,,1761.0,12.703091301222141,,25.319913731128686
Manhattan,4777.0,477.8,,732.0,10.002093364036007,,15.323424743562905
Manhattan,5223.0,393.4,,1279.0,7.532069691748037,,24.487842236262683
Manhattan,3808.0,213.4,,746.0,5.6039915966386555,,19.590336134453782
Manhattan,4909.0,277.6,,1063.0,5.654919535546956,,21.654104705642695
Manhattan,4564.0,255.5,,1270.0,5.598159509202454,,27.82646801051709
Manhattan,1956.0,54.6,,155.0,2.7914110429447856,,7.924335378323108
Manhattan,4281.0,609.9,,993.0,14.24667133847232,,23.19551506657323
Manhattan,2998.0,0.0,,602.0,0.0,,20.08005336891261
Manhattan,5109.0,682.2,,1257.0,13.352906635349385,,24.603640634174987
